# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
feeding	1	1	1.00	1.000	1 2 3 4 5 6 7 8 9 10 11 12 13 type of fruit plum lemon distillation by blowing yes yes yes yes yes yes yes yes yes yes yes yes yes steam steam feed ml/min 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.2 2.0 0.5 0.5 0.5 rate (per 100 g of fruit) amount ml 0 0 0 0 0 0 0 0 0 0 10.0 0 0 of 30% (per 100 g alcohol fo
hydrous	1	1	1.00	1.000	1 2 3 4 5 6 7 8 9 10 11 12 13 type of fruit plum lemon distillation by blowing yes yes yes yes yes yes yes yes yes yes yes yes yes steam steam feed ml/min 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.2 2.0 0.5 0.5 0.5 rate (per 100 g of fruit) amount ml 0 0 0 0 0 0 0 0 0 0 10.0 0 0 of 30% (per 100 g alcohol fo
furfral	1	1	1.00	1.000	1 2 3 4 5 6 7 8 9 10 11 12 13 type of fruit plum lemon distillation by blowing yes yes yes yes yes yes yes yes yes yes yes yes yes steam steam feed ml/min 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.2 2.0 0.5 0.5 0.5 rate (per 100 g of fruit) amount ml 0 0 0 0 0 0 0 0 0 0 10.0 0 0 of 30% (per 100 g alcohol fo
beverag	1	2	0.50	1.000	further, the favorable aromas of the biological ingredients can be imparted to various beverages including alcoholic beverages, and the like, by adding recovered liquids obtained by the inventive method to the beverages and the like.
weil	1	1	1.00	1.000	results after observation with the microscope and photographing, the observations relating to the different mixtures, immediately after incorporation in the washing liquid, are presented in table 2 below: table 2 micro- capsules in “fabric washing liquid” s 4331 well dispersed but slightly deformed 
octenyl	1	1	1.00	1.000	the octenyl acetate smells of mint, fruits, and fresh herbs reminiscent of lavender and lavandin
measurements	1	8	0.12	1.000	the following is the results of 1 h-nmr and 13 c-nmr measurements and the odor evaluation of 7-methyloctane-3-yl propionate (compound (i-b-2))
lav	1	1	1.00	1.000	the octenyl acetate smells of mint, fruits, and fresh herbs reminiscent of lavender and lavandin
terpinyl	1	1	1.00	1.000	patent document 2 discloses that an isomeric mixture of tetrahydro allo-ocimenyl acetate has the following fractions: a fraction with an odor like that of anise and basil; a fraction with an odor like that of soft linalyl acetate; a fraction with an odor like that of terpinyl acetate; and a fraction
perfoimance	1	1	1.00	1.000	if the proportion of component b exceeds 30% by mass, unpleasant phenol malodor inherent to some of component b can be sensed, which is unsuitable as an alternative material for vanillin or ethyl vanillin in a preferable aspect of the present invention, the fragrance composition of the present inven
anti-static	1	1	1.00	1.000	the cellulose beads 52 may also have add other components such as laundry softeners, anti-static chemicals, brightening agents, odor eliminating chemicals, conditioners, and absorbing components
brightening	1	1	1.00	1.000	the cellulose beads 52 may also have add other components such as laundry softeners, anti-static chemicals, brightening agents, odor eliminating chemicals, conditioners, and absorbing components
brighteners	1	1	1.00	1.000	adjunct materials according to another aspect of the present invention, the fluid fabric enhancer compositions may comprise one or more of the following optional ingredients: perfume delivery systems such as encapsulated perfumes, dispersing agents, stabilizers, ph control agents, colorants, brighte
perilla	1	3	0.33	1.000	in certain embodiments, the presently disclosed fragrance compositions can have a shiso/perilla type note
reconstruct	1	1	1.00	1.000	in certain embodiments, the mixture of compounds of formula i and formula ii can be used to reconstruct the scent profiles of natural citrus oils used in perfume compositions
rhubafuran	1	1	1.00	1.000	when the compounds of example 7 were replaced with rhubafuran, the character was not as pleasant, but the strength was similar
intial	1	1	1.00	1.000	there is also a need for a composition wherein the characters attributable to the volatile fragrance materials remains significantly consistent from its intial impression to the end
lily-of-he-valley	1	1	1.00	1.000	3-(3-isopentylphenyl)-2-methyl-propanal 25.00 total: 900.00 the introduction of 2.78% of 3-(3-isopentylphenyl)-2-methylpropanal much enhances the fruitiness and the floral lily-of-he-valley character of the composition
flowery-fruity-green-woody	1	2	0.50	1.000	example 10 production of a perfume oil having a flowery-fruity-green-woody note the following odorants are mixed in the stated quantities (parts by weight): acetoacetic acid ethyl ester 7 hexenol cis-3 1 hexenyl acetate cis-3 10% dpg 7 allyl amyl glycolate 1 galbex type base 10 bergamot oil bergapte
flowery-fruity-rosy	1	1	1.00	1.000	of floweriness of fruitiness 7 without compound 1 4 2 solution of compound 1* 3 3 7 with compound 1 9 8 *40 parts by weight of compound 1 in solution in 960 parts by weight of the virtually odourless solvent dipropylene glycol example 8 production of a perfume oil having a flowery-fruity-rosy wood n
self-reporting	1	1	1.00	1.000	8d-8f show the self-reporting data for the odors based on hedonicity, hygiene and intensity
kerosene-like	1	2	0.50	1.000	odor profiles and averaged scores are reported in the following: com- plex- compound odor profile strength ity 5-ethoxy-3-methyl-2,3- fruity, lactonic, leather 9 8 dihydro-benzofuran and floral (structure a) 5-ethoxy-3- vinyl, smoky and leathery 5 2 methylbenzofuran (structure 2) 5-methoxy-3-methyl-
plex	1	1	1.00	1.000	odor profiles and averaged scores are reported in the following: com- plex- compound odor profile strength ity 5-ethoxy-3-methyl-2,3- fruity, lactonic, leather 9 8 dihydro-benzofuran and floral (structure a) 5-ethoxy-3- vinyl, smoky and leathery 5 2 methylbenzofuran (structure 2) 5-methoxy-3-methyl-
benzofuran	1	1	1.00	1.000	odor profiles and averaged scores are reported in the following: com- plex- compound odor profile strength ity 5-ethoxy-3-methyl-2,3- fruity, lactonic, leather 9 8 dihydro-benzofuran and floral (structure a) 5-ethoxy-3- vinyl, smoky and leathery 5 2 methylbenzofuran (structure 2) 5-methoxy-3-methyl-
dihydro-benzofuran	1	1	1.00	1.000	odor profiles and averaged scores are reported in the following: com- plex- compound odor profile strength ity 5-ethoxy-3-methyl-2,3- fruity, lactonic, leather 9 8 dihydro-benzofuran and floral (structure a) 5-ethoxy-3- vinyl, smoky and leathery 5 2 methylbenzofuran (structure 2) 5-methoxy-3-methyl-
methyl-octahydro	1	1	1.00	1.000	aldehydic top 6-methyl-octahydro- hedonic integrity notes of the 4,7-methano-indene- maintained
exfoliants	1	2	0.50	1.000	examples of such benefit agents are oil absorbers such as microcapsules or microspheres, pigments or coloring agents, opacifiers, pearlescent agents, feel modifiers, skin protectants, matting agents, friction enhancers, slip agents, conditioning agents, exfoliants, odor absorbers, and cleaning enhan
unattractive	1	1	1.00	1.000	after wearing the clothing during the work day, the clothing may have a neutral or non-noticeable odor, or even worse may have an unattractive odor that was acquired during the course of the day
self	1	1	1.00	1.000	if the consumer is particularly self conscious about odor emanating from a particle part of his or her body, for example, armpit region, crotch, or buttocks, the consumer can contact that portion of the clothing covering that part of the body to transfer perfume from the substrate to that local part
conscious	1	1	1.00	1.000	if the consumer is particularly self conscious about odor emanating from a particle part of his or her body, for example, armpit region, crotch, or buttocks, the consumer can contact that portion of the clothing covering that part of the body to transfer perfume from the substrate to that local part
wear	1	1	1.00	1.000	the next time the consumer retrieves the clothing to wear, the clothing may smell just as it did when he or she took the clothing off last time
ventilated	1	1	1.00	1.000	if the clothing is stored in a dark, damp, or poorly ventilated environment, the unacceptable odor may even become worse as microbial life flourishes on the clothing
cloudy	1	1	1.00	1.000	when the composition is agitated prior to use, the mixture obtained has a transparent character with cloudy spherical or oval forms in it or, when the composition is agitated more vigorously, the mixture has a slightly cloudy character
unfinished	1	1	1.00	1.000	simply adding higher levels of highly volatile prms creates an initial impression of a harsh and unfinished fragrance that consumers do not find acceptable
measurable	1	1	1.00	1.000	the scent can be any substance, compound or mixture, which delivers at least some sort of perceivable or measurable smell
printed	1	1	1.00	1.000	according to one aspect of the invention, the product printed with a printing technique, or the product having a compound otherwise dosed therein, is further printed with embossed characters, recesses and holes, such as embossed characters with braille technique or other suchlike technique
p-lacquer	1	1	1.00	1.000	grade) measuring equipment measuring devices, water baths and buffer solutions were calibrated and subjected to quality control: brookfield model dv-ii+ viscometer (dynamic) temperature controlled water bath julabo ph meter phenomenal vwr buffer solutions ph 4.7 and 11 avs titrinorm bdh prolabo gc d
dissolves	1	1	1.00	1.000	mixtures pr and tr were made with a film former: pr+1 weight % natrosol 250 hr viscosity 217 000 mpas and ph value 7 pr+1 weight % benecel a4c viscosity 120 000 mpas and ph value 7 tr+1 weight % benecel a4c+2% aerosil 200 viscosity 260 000 mpas and ph value 5 tr+1 weight % natrosol 250 hr viscosity 
lacquer	1	1	1.00	1.000	obtained is a product/matrix, which is standardized applicable to various scents applicable to various printing techniques sellable commercially and with product safety combining offset lacquer and scent it was examined whether results obtained from the paper and textile lacquers&#39; scent project 
piss	1	1	1.00	1.000	according to one aspect of the invention, there will be included one or more aroma compounds selected from a group, comprising: the scent of some tar product, such as the scent of tar piss or pit tar the scent of some smoke, such as the scent of a smoke sauna or tar smoke the scent of some beverage,
sauna	1	1	1.00	1.000	according to one aspect of the invention, there will be included one or more aroma compounds selected from a group, comprising: the scent of some tar product, such as the scent of tar piss or pit tar the scent of some smoke, such as the scent of a smoke sauna or tar smoke the scent of some beverage,
feedstock	1	1	1.00	1.000	5 and table 2 has an improved quality of fragrance which is closer to the natural smell of the at least one volatile component of the feedstock which is partly due to the increased proportions of citronellal, citronellol, citronellyl acetate and geranyl acetate
fat-containing	1	1	1.00	1.000	description background of the invention field of the invention the present invention relates to a process for continuous extraction of an aqueous and/or fat-containing liquid phase comprising aroma chemicals with a gas in the liquid or supercritical state
unpleasant-smelling	1	2	0.50	1.000	in these cases it is not the unpleasant-smelling aroma chemicals but rather the oils and fats freed from the aroma chemicals which are of economic interest and are therefore subjected to further processing
freed	1	1	1.00	1.000	in these cases it is not the unpleasant-smelling aroma chemicals but rather the oils and fats freed from the aroma chemicals which are of economic interest and are therefore subjected to further processing
cocurrent	1	1	1.00	1.000	the extractant (supercritical co 2 ) is mixed with the phase for extraction in a column in countercurrent or in cocurrent which causes the aroma chemicals to be transferred from the phase for extraction into the extractant
evaporated	1	1	1.00	1.000	the co 2 is thus evaporated and the aroma extract is precipitated out
establishing	1	1	1.00	1.000	solubility parameters as described above are determined by methods well known in the chemical arts for establishing the relative polar character of a solvent or other material
nonpolar	1	1	1.00	1.000	the nonpolar, volatile hydrocarbon liquid as a liquid carrier for use in the composition of the present invention is preferably a liquid paraffin and/or isoparaffin having the requisite volatility and nonpolar character
managing	1	3	0.33	1.000	the cosmetic compositions may optionally contain one or more compounds for managing odors, including reactive compounds, encapsulated reactive compounds, complexed compounds, cosmetic actives, and formulation raw materials
pantiliners	1	1	1.00	1.000	the absorbent articles can include incontinence products, menstrual products, and everyday products such as pantiliners for managing odor and other low volume bodily fluid discharges
granular	1	1	1.00	1.000	odor intensity odor intensity soft solid feel bef aft example 1 sparingly odorless very strong granular perfume odor example c1 granular strong perfume very strong odor perfume odor example c2 granular strong perfume strong perfume odor odor bef = before addition of water; aft = after addition of wa
pleasnt	1	1	1.00	1.000	example 2 in this floral perfume formulation 3-(4-isobutyl-2-methylphenyl)propanal increases the floral character and makes this chypre composition fresher with a pleasnt floral tonality, emphasizing the softness of the woods whilst maintaining a fruity spicey character
blunt-powdery	1	1	1.00	1.000	the olfactory properties of selected isomer mixtures of cyclopentadec-4-en-1-one can be described as follows: 3% trans-cyclopentadec-4-en-1-one: 95% cis-cyclopentadec-4-en-1-one (comparative mixture): musk-like, erogenous, animalistic with a somewhat blunt-powdery nuance reminding of hair 82% trans-
dry-wooden	1	1	1.00	1.000	the olfactory properties of selected isomer mixtures of cyclopentadec-4-en-1-one can be described as follows: 3% trans-cyclopentadec-4-en-1-one: 95% cis-cyclopentadec-4-en-1-one (comparative mixture): musk-like, erogenous, animalistic with a somewhat blunt-powdery nuance reminding of hair 82% trans-
authentically	1	1	1.00	1.000	in connection with a 10% proportion (with regard to the total weight of methyl ionone, alpha-iso) of an isomer mixture of cyclohexadec-8-en-1-one (here: 80% trans-cyclohexadec-8-en-1-one: 20% cis-cyclohexadec-8-en-1-one) a scent development is obtained that very authentically reflects the dry-powder
dry-powdery	1	1	1.00	1.000	in connection with a 10% proportion (with regard to the total weight of methyl ionone, alpha-iso) of an isomer mixture of cyclohexadec-8-en-1-one (here: 80% trans-cyclohexadec-8-en-1-one: 20% cis-cyclohexadec-8-en-1-one) a scent development is obtained that very authentically reflects the dry-powder
wooden	1	3	0.33	1.000	the addition of 10% (with regard to the total weight of butylcyclohexyl acetate, ortho, tertiary) of an isomer mixture of cyclohexadec-8-en-1-one (here: 90% trans-cyclohexadec-8-en-1-one:10% cis-cyclohexadec-8-en-1-one) strongly enhances the scent profile towards a fruity note that reminds of green 
refreshing-citric	1	1	1.00	1.000	proportion aldehyde c 12 laurin 4 vertocitral 5 styrolyl acetate 12 mintonate 10 dihydromyrcenol 45 linalyl acetate 75 agrunitrile 10 orange oil 50 methyl anthranilate 5 isobornyl acetate 10 hexyl acetate 10 aldehyde c 14 so called 45 aldehyde c 18 so called 10 manzanate 10 allyl capronate 5 allyl c
parma-violet	1	1	1.00	1.000	in connection with a 10% proportion (with regard to the total weight of methyl ionone, alpha-iso) of an isomer mixture of cyclohexadec-8-en-1-one (here: 80% trans-cyclohexadec-8-en-1-one: 20% cis-cyclohexadec-8-en-1-one) a scent development is obtained that very authentically reflects the dry-powder
fragrance-bearing	1	1	1.00	1.000	the following table, which is graphically depicted in the drawing figure, presents a summary of the mean appearance scores of the thirty subjects with respect to the use of the fragrance extending product as compared to the use of the fragrance-bearing product alone: use of fragrance fragrance-beari
involving	1	1	1.00	1.000	preferably, said fragrance are odoriferous materials of relatively low boiling point, of less than 3000 c are liquid at room temperatures and are more soluble in organic phase than aqueous phase selected from chemicals including aldehydes, ketones, esters, alcohols, terpenes and the like also includ
zwaardemaker	1	2	0.50	1.000	zwaardemaker smell system
twelve	1	1	1.00	1.000	in yet another embodiment, a kit of the present disclosure includes twelve odorous pods, each pod producing one of the twelve odors according to ann noble&#39;s “aroma wheel” wine odor classification system
fourteen	1	1	1.00	1.000	in yet another embodiment of the present disclosure, a kit can include fourteen odorous pods, each pod producing one of the fourteen odors in the “fragrance wheel” designed by michael edwards
organocatalyst	1	1	1.00	1.000	the foregoing needs are met, to a great extent, by the present invention, which describes synthesis of chirally enriched odorous 2,4-disubstituted tetrahydropyran-4-ol and its derivatives, that are obtained using chiral organocatalyst, having increased floral odour
coexistent	1	1	1.00	1.000	although there is a polymer exhibiting thermosensitivity other than methyl cellulose, such a polymer has a thermal gelation temperature region which is greatly variable depending on a coexistent aroma chemical or surfactant so that it is difficult in practical use
lamp	1	1	1.00	1.000	for 30 minutes, then the sensor part of a portable odor sensor was placed at a position 1 cm apart from the cap of the alcohol lamp, and the odor intensity after 30 seconds was recorded
in-mouth	1	5	0.20	1.000	table 2 extract of extract of apple none additives cider apple for eating raw αgrutinp (+light) mouthfeel 5.8 5.0 4.8 2.7 in-mouth aroma 5.2 4.0 3.7 1.2 sweetness 6.6 6.2 6.2 5.5 fresh feeling 6.4 4.4 4.2 1.5 rich feeling 6.0 5.8 5.8 4.8 aftertaste 5.8 4.4 4.2 2.2 fatty feeling 6.4 6.0 5.8 4.7 compr
exhi	1	1	1.00	1.000	as a result, it is lacking in the practical use such that taste and smell possessed by the flavor deterioration inhibitor itself adversely affect taste and aroma of the food or drink itself, and the inhibitor does not yet exhibit the satisfactory effect
permanently	1	1	1.00	1.000	for example, to have one gel which is used for cleaning and/or disinfecting the toilet whereas the other gel can permanently scent the air
antimicrobials	1	1	1.00	1.000	the additives according to the present invention are preferably independently selected from, fillers, builders, thickeners, metal soaps, acids, bases, salts, thickeners, antimicrobials, preservatives, sequestrants, colorants, scents, perfume boosters, fillers, bleaching agents, corrosion inhibitors,
aid	1	2	0.50	1.000	an object of the present invention is to provide a composition that can be used to aid hunters mask their scent
savor	1	1	1.00	1.000	note that the high quality savor means the character obtained from a western liquor-like flavor unique to high quality chocolate
nail	1	2	0.50	1.000	without being bound by theory, it is thought that the difference in the required quantity of essential oil depends on the odour of the other ingredients of the nail polish
pol	1	1	1.00	1.000	the quantity of fragrance required to overpower the ‘chemical’ odour of the nail polish and create a pleasant aroma for many nail polish formulations is high
olibnum	1	1	1.00	1.000	this compound possess a very powerful and diffusive note of aldehyde and natural resins mainly olibnum and myrrh combined with a sparkling elemi dimension and orris and ambrette seed background
triacetin	1	1	1.00	1.000	examples of the unexpectedly superior fragrance transporting properties of triacetin include long lasting scent from the fragrance device, even production of scent from the fragrance device, and/or efficient transport of fragrance out of the fragrance device
spherical	1	1	1.00	1.000	in the context of the present invention, the term “macroscopic” is used in relation to the droplets means that the droplets are visible to the human eye such that they provide a particular aesthetic effect reminiscent of substantially spherical particles
evoked	1	1	1.00	1.000	“evocation” as a rule refers to a spontaneously evoked sensory impression which—in the same test panel—evokes a reproducibly similar memory of something specific
rem	1	1	1.00	1.000	if this odor of apple were very pleasant, because the odor for example is reminiscent of a sweet, fully ripe apple, the odor would have to be called “beautiful”
sweetened	1	1	1.00	1.000	these show that the compound (e)-3,3′-dimethoxy-4,4′-dihydroxystilbene both after storage in the dark and also after exposure to light evokes a sweet (aromatized) odor impression, in particular a typical vanilla-like odor impression which is reminiscent of sweetened milk
nitrite	1	1	1.00	1.000	as other example, one may cite a mixture of regioisomer containing 2-cyclohexylidene-2-(6-methylcyclohex-1-en-1-yl)acetonitrile and 2-cyclohexylidene-2-(2-methylcyclohex-1-en-1-yl) acetonitrile in a respective, molar ratio of 95:5, which possesses an odor similar to the one mentioned above but disti
salicinate	1	1	1.00	1.000	the odor of the invention&#39;s compounds is also kicking, or not possess in significant, jasmine, fruity or salicinate notes
carvony	1	1	1.00	1.000	mentha cardiac ) with a strong herbal top note along with a sweet and robust carvony note
flavor-imparting	1	1	1.00	1.000	aroma-imparting (also referred to herein and in the art as fragrance-imparting, odor-imparting, flavor-imparting, aroma-inducing) agents are widely used in fields such beverages, cosmetics, sanitary and hygienic goods, detergents, bath refreshing additives, medicines, and agricultural chemicals
agan	1	1	1.00	1.000	material and methods all ingredients were purchased from known vendors, such as agan aroma &amp; fine chemicals, givaudan, firmenich, negev aroma and others
givaudan	1	1	1.00	1.000	material and methods all ingredients were purchased from known vendors, such as agan aroma &amp; fine chemicals, givaudan, firmenich, negev aroma and others
firmenich	1	1	1.00	1.000	material and methods all ingredients were purchased from known vendors, such as agan aroma &amp; fine chemicals, givaudan, firmenich, negev aroma and others
negev	1	1	1.00	1.000	material and methods all ingredients were purchased from known vendors, such as agan aroma &amp; fine chemicals, givaudan, firmenich, negev aroma and others
dihydr	1	1	1.00	1.000	according to some of any of the embodiments of the present invention, the odoriferous material that imparts a top note of a fresh scent is selected from the group consisting of dihydromyrcenol, linalyle acetate, styrallyl acetate
substantiv	1	1	1.00	1.000	in some embodiments, these materials are selected to impart a base note of a ligneous hay odor, and are characterized by high substantivity (e.g., higher than 100) and/or high evaporation number (e.g., higher than 50), as defined herein
heptenyl	1	1	1.00	1.000	arctander, perfume and flavor chemicals, 1969, montclair, n.j., usa, cis-4-heptenyl acetate is described as having a fresh, green, fruity odor with rose undertones whereas cis-4-heptenyl isobutyrate has grassy notes with heavy nondescript character
departure	1	1	1.00	1.000	in accordance with this disclosure, it has been surprisingly found that heptadiene esters show a departure from the odor and taste of related known esters in having a natural, green, hyacinth, violet leaf notes dominated by fresh watery, sea weed, marine and ozonic odor and strong watermelon rind ta
fortunella	1	8	0.12	1.000	additionally, the present inventors have found that the flowers of fortunella japonica include β-ocimene, 6-methyl-5-hepten-2-one, anthranilaldehyde, limonene, and methyl anthranilate as the main components, and a fragrance composition including α-farnesene as the active ingredient may reproduce the
japonica	1	8	0.12	1.000	additionally, the present inventors have found that the flowers of fortunella japonica include β-ocimene, 6-methyl-5-hepten-2-one, anthranilaldehyde, limonene, and methyl anthranilate as the main components, and a fragrance composition including α-farnesene as the active ingredient may reproduce the
unshiu	1	24	0.04	1.000	for this purpose, the present inventors have conducted research to reproduce the aroma of citrus unshiu, citrus natsudaidai, citrus sudachi , and fortunella japonica , and found that the flowers of citrus unshiu include linalool, myrcene, nerolidol, and methyl anthranilate as the main components, an
natsudaidai	1	24	0.04	1.000	for this purpose, the present inventors have conducted research to reproduce the aroma of citrus unshiu, citrus natsudaidai, citrus sudachi , and fortunella japonica , and found that the flowers of citrus unshiu include linalool, myrcene, nerolidol, and methyl anthranilate as the main components, an
sudachi	1	25	0.04	1.000	for this purpose, the present inventors have conducted research to reproduce the aroma of citrus unshiu, citrus natsudaidai, citrus sudachi , and fortunella japonica , and found that the flowers of citrus unshiu include linalool, myrcene, nerolidol, and methyl anthranilate as the main components, an
fortu	1	14	0.07	1.000	for this purpose, the present inventors have conducted research to reproduce the aroma of citrus unshiu, citrus natsudaidai, citrus sudachi , and fortunella japonica , and found that the flowers of citrus unshiu include linalool, myrcene, nerolidol, and methyl anthranilate as the main components, an
nerolidol	1	1	1.00	1.000	as the main components used to reproduce the aroma of these citrus flowers, linalool, myrcene, nerolidol, and methyl anthranilate should be used within these content ranges in the case of the flowers of citrus unshiu and citrus natsudaidai
methy	1	1	1.00	1.000	as the main components used to reproduce the aroma of these citrus flowers, linalool, myrcene, nerolidol, and methyl anthranilate should be used within these content ranges in the case of the flowers of citrus unshiu and citrus natsudaidai
evalu	1	1	1.00	1.000	[reference example 2] comparative sensory evaluation between fragrances composed from analysis results and aroma of natural citrus flowers combined fragrances (samples e, f, g, and h) having compositions as listed in the following tables 5 to 8 were prepared based on the analysis results, and the si
neopentyl	1	2	0.50	1.000	the aroma of neopentyl glycol diacetate may be evaluated by testing the compound on a fragrance blotter, a small strip of paper used to sample the compound in aqueous form
diacetate	1	2	0.50	1.000	the aroma of neopentyl glycol diacetate may be evaluated by testing the compound on a fragrance blotter, a small strip of paper used to sample the compound in aqueous form
alochol	1	1	1.00	1.000	another problem is that chemical reactions occur between the alochol and the fruit-derived aroma components, causing deterioration in fragrance and the resulting aromas may become somewhat different from the aromas of natural fruits
fruit-derived	1	1	1.00	1.000	another problem is that chemical reactions occur between the alochol and the fruit-derived aroma components, causing deterioration in fragrance and the resulting aromas may become somewhat different from the aromas of natural fruits
mellower	1	1	1.00	1.000	of the two samples of carbonated drink, sample a did not contain any flavoring and yet it had a fresh and complex scent perceivable from the lemon fruit; the sweetness and scent of sample a were mellower than those of flavored sample b, giving a flavor reminiscent of the fruit
givin	1	1	1.00	1.000	of the two samples of carbonated drink, sample a did not contain any flavoring and yet it had a fresh and complex scent perceivable from the lemon fruit; the sweetness and scent of sample a were mellower than those of flavored sample b, giving a flavor reminiscent of the fruit
abundant	1	1	1.00	1.000	citation list patent documents patent document 1: jp 2000-308475a patent document 2: jp h11-318379 a patent document 3: jp 2011-55797 a summary of invention technical problem an object of the present invention is to provide liquid compositions that have abundant aromas reminiscent of natural citrus 
citru	1	1	1.00	1.000	to deal with this problem, there has been proposed a method for stably retaining the aroma of flavorful acid citrus fruits juice comprising squeezing citrus fruits and immediately adding a ph adjuster thereto to control the ph of the juice to 3.5 to 7.0 (patent document 1)
afte	1	1	1.00	1.000	citation list patent documents patent document 1: jp 2000-308475a patent document 2: jp h11-318379 a patent document 3: jp 2011-55797 a summary of invention technical problem an object of the present invention is to provide liquid compositions that have abundant aromas reminiscent of natural citrus 
reta	1	1	1.00	1.000	the present inventors found that by incorporating citropten and hesperidin in the liquid composition at certain ranges of concentrations, an aroma and flavor reminiscent of natural fruits was significantly enhanced and was stably retained after a long-term storage
citropten	1	2	0.50	1.000	the liquid composition in which the rutin concentration was limited to lie within a certain range not only had an aroma and flavor reminiscent of a natural fruit enhanced by citropten and hesperidin but also was reduced in irritating bitterness that lasts long into the aftertaste and, hence, was pre
astringency	1	1	1.00	1.000	background art citrus juice obtained by squeezing citrus fruits may sometimes have problems in terms of bitterness, acidity, astringency, unpleasant smells, and so on
clearness	1	1	1.00	1.000	table 1 chilled trial trial trial sample product 1 product 2 product 3 skim milk — — 0.06 — (%) emulsion — — — 0.02 preparation (%) absorbance 0.001 0.001 0.071 0.087 at 660 nm sensory — 2.3 3.3 3.3 evaluation score comments natural acidity with decreased with decreased acidity and fruit juice fruit
drunk	1	1	1.00	1.000	the amount of the flavoring in the beverage should at least be the quantity at which the aroma of the flavoring can be sensed when the beverage is drunk; specifically, the amount of interest is determined by the strength of the flavoring itself
instantaneous	1	1	1.00	1.000	the free perfume composition may deliver instantaneous scent, while the perfume-cyclodextrin complexes provide long-lasting scent
perfume-cyclodextrin	1	1	1.00	1.000	the free perfume composition may deliver instantaneous scent, while the perfume-cyclodextrin complexes provide long-lasting scent
erase	1	1	1.00	1.000	indeed we surprisingly found that these two compounds, can alter or even erase the olfactive character of the composition of matter if present in more than traces
elegantly	1	1	1.00	1.000	example 3 preparation of a perfuming composition a perfuming composition for eau de toilette for woman, of the floral-fruity type, was prepared by admixing the following ingredients: parts by weight ingredient 20 benzyl acetate 10 ethyl acetoacetate 10 allyl (3-methylbutoxy)acetate 40 10%* ambrox ® 
biotechnologically	1	2	0.50	1.000	description the present invention discloses the full application of biotechnologically produced inactive aroma- and fragrance/scent precursors in new concentration ranges beyond those of natural aroma glycoside sources, which can be activated by external triggers like enzymes, temperature and ph, an
inactive	1	2	0.50	1.000	description the present invention discloses the full application of biotechnologically produced inactive aroma- and fragrance/scent precursors in new concentration ranges beyond those of natural aroma glycoside sources, which can be activated by external triggers like enzymes, temperature and ph, an
transgenic	1	2	0.50	1.000	according to a still further aspect the present invention is directed to a method of producing at least one aroma glycoside, said method comprising the steps of: culturing or growing a host cell or a transgenic plant of the invention; and collecting from said host cell or transgenic plant said aroma
glycosides	1	2	0.50	1.000	according to certain embodiments, the product or composition according to the invention can also contain more than one aroma glycoside in combination/mixtures, wherein the aroma glycosides can release the aroma either by the same or different procedures after activation
educts	1	1	1.00	1.000	culturing in presence of educts for producing the aroma glycoside
yeast-sour	1	1	1.00	1.000	the olfactory examination of blind sample (1) and recovery (3) showed in this experiment a typical yeast-sour, roasty, intensive baking aroma which showed the addition of yeast clearly
breads	1	1	1.00	1.000	sensory test in order to test the influence of the amount of geraniol released in the baking test on the total aroma of the breads and its impression on the consumer an orthonasalic sensory test was carried out
modulation	1	1	1.00	1.000	taste modulation the glycosylated aroma agents also have taste-modulating properties
glycosylated	1	1	1.00	1.000	taste modulation the glycosylated aroma agents also have taste-modulating properties
glucosidase	1	1	1.00	1.000	table 19 experimental setup of example 11 glucosidase geranylglucosid water perceptible odor 5 mg 2 mg 1 ml weak 10 mg 5 mg 1 ml significant 10 mg 10 mg 1 ml significant 10 mg — 1 ml — — 2 mg 1 ml — 10 mg 5 mg — — the loaded carrier materials were then wetted with 1 ml water
geranylglucosid	1	1	1.00	1.000	table 19 experimental setup of example 11 glucosidase geranylglucosid water perceptible odor 5 mg 2 mg 1 ml weak 10 mg 5 mg 1 ml significant 10 mg 10 mg 1 ml significant 10 mg — 1 ml — — 2 mg 1 ml — 10 mg 5 mg — — the loaded carrier materials were then wetted with 1 ml water
orthonasalic	1	1	1.00	1.000	sensory test in order to test the influence of the amount of geraniol released in the baking test on the total aroma of the breads and its impression on the consumer an orthonasalic sensory test was carried out
featuring	1	1	1.00	1.000	ambery: a large fragrance class featuring the scents of vanilla and animal scents together with flowers and woods
decided	1	1	1.00	1.000	this was repeated until the expert decided that the odour has become too weak
tars	1	1	1.00	1.000	leather: a family of fragrances which features the scents of honey, tobacco, wood and wood tars in its middle or base notes and a scent that alludes to leather
unmatched	1	1	1.00	1.000	specifically, strip samples of vetiveryl acetate (1.4 percent in ethanol) and commercial vetiveryl acetate from the target market were tested, and it was found that vetiveryl acetate according to one or more embodiments of the present disclosure had unmatched odor notes, which may be best described 
mystikal	1	1	1.00	1.000	today, the only synthetic fragrant material that has this typical note of frankincense is mystikal® from the company givaudan
